customerId,recommendedProducts
4,226|247|230|248|125|204|155|294|72|276
11,226|247|230|248|125|204|155|294|276|129
12,226|247|230|248|125|204|155|294|72|276
16,226|247|230|248|125|204|155|294|72|276
21,226|247|230|248|125|204|155|294|72|276
32,226|247|230|248|125|204|155|294|72|276
121,226|247|230|248|125|204|155|294|72|276
122,226|247|230|248|125|204|155|294|72|276
123,226|247|230|248|125|204|155|294|72|276
137,226|247|230|248|125|204|155|294|72|276
141,226|247|230|248|125|204|155|294|72|276
152,226|247|230|248|125|204|155|294|72|276
164,226|247|230|248|125|204|155|294|72|276
171,226|247|230|248|125|204|155|294|72|276
182,226|247|230|248|125|204|155|294|72|276
212,247|230|248|125|204|155|294|72|276|129
218,226|247|230|248|125|204|155|294|72|276
247,226|247|230|248|125|204|155|294|72|276
250,226|247|230|248|125|204|155|294|72|276
255,226|247|230|248|125|204|155|294|72|276
261,226|247|230|248|125|204|155|294|72|276
263,226|247|230|248|125|204|155|294|72|276
305,226|247|230|248|125|204|155|294|276|129
320,226|247|230|248|125|204|155|294|72|276
321,226|247|230|248|125|204|155|294|72|276
326,226|247|230|248|125|204|155|294|72|276
339,226|247|230|248|125|204|155|294|72|276
368,226|247|230|248|125|204|155|294|72|276
418,226|247|230|248|125|204|155|294|72|276
447,226|247|230|248|125|204|155|294|72|276
450,226|247|230|248|125|204|155|294|72|276
459,226|247|230|248|204|155|294|72|276|129
462,226|247|230|248|125|204|155|294|72|276
482,226|247|230|248|125|204|155|294|72|276
539,226|247|230|248|125|204|155|294|72|276
543,226|247|230|248|125|204|155|294|72|276
548,226|247|230|248|125|204|155|294|72|276
572,226|247|230|248|125|204|155|294|72|276
594,226|247|230|248|125|204|155|294|72|276
595,226|247|230|248|125|204|155|294|72|276
625,226|247|230|248|125|204|155|294|72|276
654,226|247|230|248|125|204|155|294|72|276
659,226|247|230|248|125|204|155|294|72|276
661,226|247|230|248|125|204|155|294|72|276
665,226|247|230|248|125|204|155|294|276|213
667,226|247|230|248|125|204|155|294|72|276
677,226|247|230|248|125|204|155|294|72|276
690,226|247|230|248|125|204|155|294|72|276
706,226|247|230|248|125|204|155|294|72|276
708,226|247|230|248|125|204|155|294|72|276
718,226|247|230|248|125|204|155|294|72|276
731,226|247|230|248|125|204|155|294|72|276
745,226|247|230|248|125|204|155|294|72|276
788,226|247|230|248|125|204|155|294|72|276
806,226|247|230|248|125|204|155|294|72|276
821,226|247|230|248|125|204|155|294|72|276
837,226|247|230|248|125|204|155|294|276|129
858,226|247|230|248|125|204|155|294|72|276
861,226|247|230|248|125|204|155|294|72|276
862,226|247|230|248|125|204|155|294|72|276
863,226|247|230|248|125|204|155|294|72|276
866,226|247|230|248|125|204|155|294|72|276
884,226|247|230|248|125|155|294|72|276|129
946,226|247|230|248|125|204|155|294|72|276
1037,226|247|230|248|125|204|155|294|72|276
1042,226|247|230|248|125|204|155|294|72|276
1043,226|247|230|248|125|204|155|294|276|213
1057,226|247|230|248|125|204|155|294|72|276
1073,226|247|230|248|125|204|155|294|72|276
1085,226|247|230|248|125|204|155|294|72|276
1090,226|247|230|248|125|204|155|294|72|276
1091,226|247|248|125|204|155|294|72|276|129
1093,226|247|230|248|125|204|155|294|276|129
1111,226|247|230|248|125|204|155|294|72|276
1127,226|247|230|248|125|204|155|294|72|276
1130,226|247|230|248|125|204|155|294|72|276
1137,226|247|230|248|125|204|155|294|72|276
1139,226|247|230|248|125|204|155|294|72|276
1143,226|247|230|248|125|204|155|294|72|276
1149,226|247|230|248|125|204|155|294|72|276
1156,226|247|230|248|125|204|155|294|72|276
1175,226|247|230|248|125|204|155|294|72|276
1178,226|247|230|248|125|204|155|294|72|276
1182,226|247|230|248|125|204|155|294|72|276
1223,226|247|230|248|125|204|155|294|72|276
1245,226|247|230|248|125|204|155|294|72|276
1267,226|247|230|248|125|204|155|294|72|276
1270,226|247|230|248|125|204|155|294|72|276
1286,226|247|230|248|125|204|155|294|72|276
1290,226|247|230|248|125|204|155|294|72|276
1342,226|247|230|248|125|204|155|294|72|276
1347,226|247|230|248|125|204|155|294|72|276
1380,226|247|230|248|125|204|155|294|72|276
1387,226|247|230|248|125|204|155|294|72|276
1412,226|247|230|248|125|204|155|294|72|276
1416,226|247|230|248|125|204|155|294|72|276
1425,226|247|230|248|125|204|155|294|72|276
1434,226|247|230|248|125|204|155|294|72|276
1455,226|247|230|248|125|204|155|294|72|276
1475,226|247|230|248|125|204|155|294|72|276
1504,226|247|230|248|125|204|155|294|72|276
1553,226|247|230|248|125|204|155|294|72|276
1559,226|247|230|248|125|204|155|294|72|276
1583,247|230|248|125|204|155|294|72|276|129
1586,226|247|230|248|125|204|155|294|72|276
1619,226|247|230|248|125|204|155|294|72|276
1653,226|247|230|248|125|204|155|294|72|276
1668,226|247|230|248|125|204|155|294|72|276
1695,226|247|230|248|125|204|155|294|276|129
1705,226|247|230|248|125|204|155|294|72|276
1730,226|247|230|248|125|204|155|294|72|276
1743,226|247|230|248|125|204|155|294|72|276
1757,226|247|230|248|125|204|155|294|72|276
1768,226|247|230|248|125|204|155|294|72|276
1783,226|247|230|248|125|204|155|294|72|276
1851,226|247|230|248|125|204|155|294|276|213
1870,226|247|230|248|125|204|155|294|72|276
1911,226|247|230|248|125|204|155|294|72|276
1916,226|247|230|248|125|204|155|294|72|276
1939,226|247|230|248|125|204|155|294|72|276
1981,226|247|230|248|125|204|155|294|72|276
2008,226|247|230|248|125|204|155|294|72|276
2029,226|247|230|248|125|204|155|294|72|276
2043,226|247|230|248|125|204|155|294|72|276
2052,226|247|230|248|125|204|155|294|72|276
2062,226|247|230|125|248|204|155|294|72|276
2087,226|247|230|248|125|204|155|294|72|276
2143,226|247|230|248|125|204|155|294|72|276
2202,226|247|230|248|125|204|155|294|72|276
2232,226|247|230|248|125|204|155|294|72|276
2265,226|247|230|248|125|204|155|294|72|276
2278,226|247|230|248|125|204|155|294|276|213
2279,226|247|230|248|125|204|155|294|72|276
2283,226|247|230|248|125|204|155|294|72|276
2285,226|247|230|248|125|204|155|294|72|276
2315,226|247|230|248|125|204|155|294|72|276
2347,226|247|230|248|125|204|155|294|72|276
2388,226|247|230|248|125|204|155|294|72|276
2396,226|247|230|248|125|204|155|294|72|276
2403,226|247|230|248|125|204|155|294|72|276
2409,226|247|230|248|125|204|155|294|276|129
2410,226|247|230|248|125|204|155|294|72|276
2414,226|247|230|248|125|204|155|294|72|276
2417,226|247|248|125|204|155|294|72|276|129
2430,226|247|230|248|125|204|155|294|72|276
2466,226|247|230|248|125|204|155|294|72|276
2478,226|247|230|248|125|204|155|294|72|276
2479,226|247|230|248|125|204|155|294|72|276
2531,226|247|230|248|125|204|155|294|72|276
2536,226|247|230|248|125|204|155|294|72|276
2579,226|247|230|248|125|204|155|294|72|276
